HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
KZGNA34E,2013-11-01 03:54:24,2013-10-31 17:39:31,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T131,000046,CEPX.BFX,00000000,2,,2,2,A35H1ZQN,2,1,1,2013-11-01 05:28:36,1,10.248
KZGNA32E,2013-11-01 04:25:00,2013-10-31 18:00:13,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000007,CEPX.BBX,00000000,2,,2,2,A36QFKA1,2,1,1,2013-11-01 05:28:35,1,10.413
KZGNA2SE,2013-11-01 04:19:16,2013-10-31 18:00:29,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000022,CEPX.BBX,00000000,2,,2,2,A35ZTWN1,2,1,1,2013-11-01 05:28:35,1,10.313
KZGNA2LE,2013-11-01 04:18:15,2013-10-31 17:55:51,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T180,000015,CEPX.BAX,00000000,2,,2,2,A35H3EJS,2,1,1,2013-11-01 05:28:35,1,10.373
KZGNA2JE,2013-11-01 04:14:19,2013-10-31 18:00:11,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000005,CEPX.BBX,00000000,2,,2,2,A36QFKGD,2,1,1,2013-11-01 05:28:36,1,10.235
KZGNA2HE,2013-11-01 04:05:00,2013-10-31 18:00:31,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000024,CEPX.BBX,00000000,2,,2,2,A371YX33,2,1,1,2013-11-01 05:28:35,1,10.074
KZGNA2GE,2013-11-01 04:17:49,2013-10-31 18:00:30,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000023,CEPX.BBX,00000000,2,,2,2,A36QFJNJ,2,1,1,2013-11-01 05:28:37,1,10.288
KZGNA2EE,2013-11-01 04:07:30,2013-10-31 18:00:24,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000017,CEPX.BBX,00000000,2,,2,2,A371YC0P,2,1,1,2013-11-01 05:28:37,1,10.118
KZGNA2DE,2013-11-01 04:14:02,2013-10-31 17:55:53,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T180,000017,CEPX.BAX,00000000,2,,2,2,A35H1YMB,2,1,1,2013-11-01 05:28:35,1,10.302
KZGNA1NE,2013-11-01 04:05:05,2013-10-31 18:00:12,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000006,CEPX.BBX,00000000,2,,2,2,A35H3F7H,2,1,1,2013-11-01 05:28:37,1,10.081
KZGNA06E,2013-11-01 04:08:46,2013-10-31 18:00:17,6400,CEP8,CP1843,0000,00000000,U516,B5QX,1030104040J1J1    10,0  0,51,14,T181,000011,CEPX.BBX,00000000,2,,2,2,A36QFL7R,2,1,1,2013-11-01 05:28:37,1,10.141
