PROCID,MTYPE,LastEndDate,FirstStartDate,NumComp,TestTime_Mean,TestTime_Min,TestTime_Max,TestTime_SDev,PFSTATUS,PFCount,%PF
6400,MPS6,2013-10-20 12:24:39,2013-10-12 20:08:34,240,10.589,3.952,10.922,1.122,Pass,227,94.583
6400,MPS6,2013-10-20 12:24:39,2013-10-12 20:08:34,240,10.589,3.952,10.922,1.122,Fail,13,5.417
6400,MPS8,2013-10-20 15:39:31,2013-10-12 19:44:01,240,13.533,2.711,14.326,2.048,Pass,212,88.333
6400,MPS8,2013-10-20 15:39:31,2013-10-12 19:44:01,240,13.533,2.711,14.326,2.048,Fail,28,11.667
6400,MPSA,2013-10-20 20:20:51,2013-10-11 20:31:10,420,16.029,0.033,18.181,3.839,Pass,336,80.000
6400,MPSA,2013-10-20 20:20:51,2013-10-11 20:31:10,420,16.029,0.033,18.181,3.839,Fail,84,20.000
6800,MPS6,2013-10-28 22:44:05,2013-10-14 17:10:51,227,88.842,28.689,102.045,4.919,Pass,219,96.476
6800,MPS6,2013-10-28 22:44:05,2013-10-14 17:10:51,227,88.842,28.689,102.045,4.919,Fail,8,3.524
6800,MPS8,2013-10-30 09:38:47,2013-10-14 15:21:00,212,122.346,27.547,153.317,12.841,Pass,188,88.679
6800,MPS8,2013-10-30 09:38:47,2013-10-14 15:21:00,212,122.346,27.547,153.317,12.841,Fail,24,11.321
6800,MPSA,2013-11-01 13:15:24,2013-10-14 16:39:06,336,163.533,17.048,222.597,19.097,Pass,294,87.500
6800,MPSA,2013-11-01 13:15:24,2013-10-14 16:39:06,336,163.533,17.048,222.597,19.097,Fail,42,12.500
